funding_total_usd,country_code,city,funding_rounds
4260000.0,EU,Helsinki,1.0
12000000.0,EU,Paris,1.0
4845819.0,NorthAm,Bangor,1.0
4900000.0,Other,Lagos,1.0
1412834.0,EU,Paris,1.0
3356695.0,EU,Barcelona,1.0
500000.0,NorthAm,Vancouver,1.0
3409315.0,EU,London,1.0
3500000.0,NorthAm,New York,2.0
41250.0,AS,Hong Kong,1.0
4211031.0,NorthAm,Miami,6.0
825000.0,NorthAm,Emeryville,1.0
263400.0,EU,Galway,1.0
720000.0,NorthAm,Philadelphia,2.0
24750000.0,NorthAm,Pittsburgh,1.0
400988.0,NorthAm,Vancouver,3.0
1770000.0,EU,Neuilly-sur-seine,1.0
4540000.0,EU,Stuttgart,1.0
4400000.0,NorthAm,Campbell,2.0
2700000.0,EU,Zürich,1.0
600000.0,NorthAm,Austin,1.0
875000.0,NorthAm,San Mateo,5.0
900000.0,Other,Limassol,1.0
6790000.0,NorthAm,Des Plaines,2.0
6000000.0,EU,Moscow,1.0
375000.0,EU,Moscow,1.0
25000.0,AS,Chandigarh,1.0
20000.0,NorthAm,Washington,1.0
78799653.0,EU,Cambridge,2.0
147000.0,Other,San José,1.0
2000000.0,NorthAm,Mississauga,1.0
805908.0,EU,London,1.0
10207905.0,EU,London,4.0
2012700.0,NorthAm,Dallas,1.0
12850000.0,NorthAm,Cleveland,3.0
19148000.0,NorthAm,Chicago,5.0
39610000.0,NorthAm,Los Altos,3.0
2250180.0,NorthAm,Princeton,1.0
60000.0,NorthAm,New York,1.0
1500000.0,NorthAm,Tempe,1.0
583000000.0,NorthAm,Minneapolis,4.0
21000000.0,NorthAm,New York,3.0
6467283.0,NorthAm,Boston,1.0
12853396.0,EU,Oxford,3.0
50000.0,NorthAm,Dublin,1.0
3986362.0,EU,Lausanne,1.0
26898770.0,NorthAm,Redwood City,10.0
500000.0,NorthAm,Evanston,1.0
150000.0,NorthAm,Forest Park,1.0
21800000.0,NorthAm,Carlsbad,1.0
42980577.0,NorthAm,Kalamazoo,7.0
17500000.0,NorthAm,Austin,4.0
50000.0,NorthAm,Raleigh,1.0
500000.0,NorthAm,Cherry Hill,1.0
12005448.0,NorthAm,Wheat Ridge,5.0
